Overall Jokl Rank,Athletics,Cycling,Gymnastics,Shooting,Swimming,Coastline (Km) (2018),Temperature (1901-2016 [C]),GDP (US Billion Dollar),Elevation (Feet),Status of Women,Democracy Index,Population
120.26,97.77,,,,22.49,1424,22.18,63.18,3350.54,0.7,5.16,59734218
119.03,25.09,39.48,,,54.46,733,24.04,366,104.99,0.73,6.02,7496981
118.81,118.81,,,,,563,27.09,183,88.42,0.73,3.19,2881053
110,62.71,,,16.33,30.96,501,24.84,105,2194.5,,,2860853
104.84,,56.11,,,48.73,0,9.14,71.1,1140.98,0.88,8.81,625978
102.69,95.55,,,,7.14,0,21.79,23.06,3679,0.68,5.09,18383955
102.24,22.06,2.38,5.27,5.21,67.31,2800,25.32,482,1142.28,0.72,2.88,28435940
97.81,32.57,11.28,21.69,29.27,3.01,0,11.81,48.05,2133.49,0.65,2.75,10139177
96.09,89.04,0,5.46,,1.58,648,18.84,24.56,998.3,0.82,7.59,1207359
90.1,34.41,28.44,1.72,6.69,53.25,4989,14.31,450,2315.63,0.78,7.02,45195774
89.94,42.58,47.36,,,,3794,5.24,31.39,189.16,0.87,7.9,1326535
89.76,11.09,1.98,,64.07,12.63,1566.3,23.31,,3773,,7.73,23816775
88.29,16.48,,,41.94,29.87,1148,19.42,38.8,834.17,0.65,6.72,11818619
85.8,75.2,10.6,,,,498,5.8,34.12,294.45,0.85,7.49,1886198
83.03,67.49,2.22,,13.32,,1572,20.2,12.37,3588.56,0.75,6.43,2540905
80.84,66.52,,,,14.32,158,25.56,2.12,551.89,,,183627
79.56,54.62,,,10.32,14.62,1129,24.13,5.54,703.3,0.76,5.85,896445
72.83,26.02,,1.9,1.58,43.33,998,22.71,170,1830.91,0.61,4.01,43851044
70.48,42.56,,,14.32,13.59,1288,23.73,88.94,1313.94,0.73,6.54,10847910
66.37,66.37,,,,,0,2.13,8.45,8658.25,0.72,4.89,6524195
64.83,13.46,,29.82,18.86,2.69,310,6.48,17.74,4050.18,0.78,5.42,3989167
63.84,5.32,,,26.52,32,193,27.19,372,60.96,0.84,6.02,5850342
61.25,42.2,7.77,,2.73,8.55,1835,17.49,119,2195.08,0.63,5.1,36910560
58.96,51.07,,,,7.9,660,17.5,56.05,339.51,0.76,8.38,3473730
58.35,45.27,,,,13.08,193,17.78,40.41,1700.66,0.42,1.43,17500658
54.18,,,22.08,18.76,13.34,0,7.26,13.67,6081.36,0.72,5.54,2963243
53.75,25.51,,,12.97,15.27,4675,25.36,365,916.2,0.73,7.16,32365999
52.66,43.35,,,,9.31,153,25.32,1.73,111.89,,,97929
52.44,52.44,,,,,135,24.38,1.05,632.59,,,53199
48.63,4.07,,,31.7,12.86,225,15.8,53.37,3273.73,0.6,4.36,6825445
47.46,32.95,,,14.51,,2092,25.44,76.98,902.91,,3.06,5106626
46.67,15.2,,,,31.47,386,25.76,3.99,518.21,0.74,6.98,586632
44.56,36.74,,,,7.82,0,20.02,3.01,4963.51,0.62,2.15,11890784
44.56,11.34,,,18.32,14.9,253,18.78,14.79,272.69,0.81,7.95,441543
44.49,9.26,,,25.74,9.48,3219,26.33,544,930.54,0.71,6.32,69799978
42.96,33.16,,,,9.8,539,27.26,66.98,592.1,0.72,6.63,31072940
42.82,30.78,12.04,,,,1290,24.52,61.77,1846.02,0.78,8.13,5094118
41.32,34.21,,,,7.11,459,25.73,4.28,705.5,0.74,6.15,786552
41.3,,41.3,,,,706,25.31,1.67,1541.92,,,1318445
38.43,38.43,,,,,0,9.68,11.96,470.06,0.74,5.75,4033963
38.2,4.84,,,17.72,15.64,580,25.07,303,92.11,0.61,5.88,164689383
34.69,2.62,,,3.75,28.31,0,20.93,40.9,4178.2,0.77,4.84,11673021
33.32,29.26,,,0,4.06,1340,26.68,84.01,579.03,0.68,6.27,21413249
31.93,18.39,,,,13.54,80,27.62,1.03,263.58,,,30231
31.06,21.58,,,9.48,,2640,24.7,793,2095.29,0.66,1.93,34813871
30.45,30.45,,,,,0,12.79,2.46,7269.26,0.64,6.54,2142249
27.73,22.6,,,,5.13,97,25.99,5.21,349.84,0.72,,287375
27.56,18.37,,6.34,,2.84,400,23.3,85.3,2436.83,0.68,5.26,17915568
27.18,0,,,27.18,,0,14.66,1.66,963.52,,,33931
25.13,25.13,,,,,579,25.46,3.22,708.97,0.61,5.45,5057681
24.15,19.09,,,,5.06,0,21.33,21.44,3203.39,0.73,3.16,14862924
24.15,2.13,,,15.25,6.77,1046,20.01,278,3297.52,0.46,4.25,220892340
22.73,12.1,,,,10.63,1770,22.12,52.08,1362.17,0.55,2.02,6871292
22.56,15.09,,,,7.47,84,26.66,0.83,964.59,,,110940
22.31,15.42,1.87,,,5.02,0,19.08,10.12,5558.1,0.74,3.16,12952218
21.48,14.02,,,,7.46,40,19.53,15,1050.3,,3.89,5101414
20.99,,,,0,20.99,307,23.77,27.02,1443.04,0.73,6.15,6486205
19.79,10.09,,,,9.7,1771,24.4,8.5,1341.4,0.61,4.57,11402528
19.74,19.74,,,,,5152,25,24.97,2002.63,0.66,6.03,8947024
